,Unnamed: 0,Determination of die stress using Kriging Models,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12
0,Define input,Parameter,Value,Unity,lowerrange,upperrange ,,,,,,,
1,die thickness,dt,0.24,mm,0.24,0.24,,,,,,,
67,4,0.543,0.076,3615.24714390262,co,,3172.166006301621,,,95.8853544394637,co,,71.91051464737447
68,5,0.657,0.046,-41246.5145967436,-151.250661606803,,-32855.64448954841,,,414.472430947245,-20.7919921449363,,289.1330994555766
69,6,0.429,0.041,125032.81810625,,,118015.73485429023,,,348.671965786377,,,302.5196773001194
70,7,0.943,0.033,59067.5760406959,,,32439.125854132457,,,706.010100907142,,,336.23110241064467
71,8,0.886,0.05,2862.7350567698,,,1718.3541176536476,,,103.072953610147,,,54.37358409763027
72,9,1,0.067,3269.74140890925,,,1633.2204957436388,,,93.0234773759531,,,40.899479996295064
73,10,0.314,0.0709999999999999,109683.742813455,,,107957.9854405399,,,673.817572651855,,,619.2018734628261
74,11,0.6,0.029,-8816.21714765023,,,-7393.875434736592,,,212.765632565843,,,152.78710799253426
75,12,0.829,0.08,11950.2711244546,,,7754.215293682081,,,387.082540527849,,,206.42882368934096
76,13,0.714,0.063,36479.9861170001,,,27353.38619911827,,,-95.1114521249971,,,-61.295763102574526
77,14,0.371,0.024,21705.0438046019,,,20970.211785337782,,,674.299952093183,,,587.3336058715496
78,15,0.486,0.059,13439.9978179631,,,12286.433995106534,,,65.0624253861725,,,53.7057034021257
79,16,0.2842,0.0263,-80188.5894155982,,,-79408.83294919143,,,-1211.63714059924,,,-1124.0202014224471
80,17,0.5789,0.0516,-4154.52170286971,,,-3552.3408019562407,,,-261.479593138817,,,-198.76633772292976
81,18,0.7474,0.0389,-72218.5201174978,,,-52121.095667294714,,,-1088.42381645704,,,-676.5177313182384
82,19,0.9158,0.0611,-29211.3940585763,,,-16753.744448396457,,,-210.212197524913,,,-105.22665920140223
83,20,0.4526,0.0737,-132200.16481678,,,-123042.69199988182,,,-680.492754979602,,,-559.0984375081206
84,21,0.967,0.023,-35903.9998657682,,,-18934.159453422733,,,-605.852278731017,,,-271.20642551475055
85,22,0.233,0.065,-89985.3625204112,,,-89804.98295531899,,,-416.410291349767,,,-404.6467611000854
86,23,0.633,0.078,35431.2582173779,,,28809.173173041792,,,-138.214665186615,,,-93.75430409633184
